run_number,date,run_mode,url_file,total_urls_processed,total_documents_captured,new_diff_records,issue_count,success_zero_docs_count,fetch_failed_status_count,fetch_error_count,browser_fallback_enabled,output_file,raw_file,issues_file
1,2026-05-17 06:02:32,full,documents.csv,36,663,0,3,1,0,2,True,output.csv,raw_links.csv,capture_issues.csv
2,2026-05-17 06:23:52,test,test_urls.csv,1,58,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
3,2026-05-17 06:56:03,test,test_urls.csv,1,58,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
4,2026-05-17 07:00:02,test,test_urls.csv,1,28,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
5,2026-05-17 16:52:03,full,documents.csv,36,605,28,6,1,0,5,True,output.csv,raw_links.csv,capture_issues.csv
6,2026-05-17 18:46:47,full,documents.csv,36,605,0,6,1,0,5,True,output.csv,raw_links.csv,capture_issues.csv
7,2026-05-17 19:12:22,test,test_urls.csv,5,0,0,5,0,0,5,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
8,2026-05-18 04:21:09,full,documents.csv,36,691,0,2,1,0,1,True,output.csv,raw_links.csv,capture_issues.csv
9,2026-05-18 07:16:28,full,documents.csv,36,691,0,2,1,0,1,True,output.csv,raw_links.csv,capture_issues.csv
10,2026-05-18 10:54:03,test,test_urls.csv,3,257,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
11,2026-05-18 14:47:21,test,test_urls.csv,10,334,0,1,0,1,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
12,2026-05-19 05:20:09,test,test_urls.csv,1,9,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
13,2026-05-19 05:24:56,test,test_urls.csv,13,594,0,1,0,1,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
14,2026-05-19 05:52:47,test,test_urls.csv,1,0,0,1,0,1,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
15,2026-05-19 05:59:37,test,test_urls.csv,1,9,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
16,2026-05-19 06:35:59,test,test_urls.csv,13,594,0,1,0,1,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
17,2026-05-19 07:05:16,test,test_urls.csv,1,0,0,1,0,1,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
18,2026-05-19 07:06:47,test,test_urls.csv,1,0,0,1,0,1,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
19,2026-05-19 07:24:45,test,test_urls.csv,1,0,0,1,0,1,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
20,2026-05-19 07:59:30,test,test_urls.csv,1,0,0,1,0,0,1,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
21,2026-05-19 09:22:34,test,test_urls.csv,1,9,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
